benchmark.name,execution.execution_id,execution.repetition,execution.repetitions,execution.workdir,execution.execution_dir,vars.sw,vars.gys_io_output,metadata.jobid,metadata.executor_status,metadata.submission_time,metadata.end,metadata.slurm_submit_stdout,metadata.slurm_submit_stderr,metadata.submit_returncode,metadata.slurm_state_live,metadata.slurm_state,metadata.slurm_exitcode,metadata.sysinfo.hostname,metadata.sysinfo.cpu_model,metadata.sysinfo.cpu_cores,metadata.sysinfo.memory_kb,metadata.sysinfo.kernel,metadata.sysinfo.os,metadata.sysinfo.ib_devices,metadata.sysinfo.filesystems,metadata.sysinfo.duration_seconds,metrics.time_write,metrics.time_total,metrics.bandwidth
Gys_io Benchmark - Subfiling,2,1,5,/beegfs/aloupoue/iops_runs/run_060,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0002/repetition_001,2,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0002/repetition_001/summary.txt,4672902,SUCCEEDED,2026-04-27 17:15:31,2026-04-27 17:22:22,Submitted batch job 4672902,,0,RUNNING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,158,124.558,138.656,0.51
Gys_io Benchmark - Subfiling,1,1,5,/beegfs/aloupoue/iops_runs/run_060,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0001/repetition_001,1,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0001/repetition_001/summary.txt,4672913,SUCCEEDED,2026-04-27 17:23:37,2026-04-27 17:28:11,Submitted batch job 4672913,,0,RUNNING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,121,61.0645,76.7954,1.05
Gys_io Benchmark - Subfiling,1,2,5,/beegfs/aloupoue/iops_runs/run_060,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0001/repetition_002,1,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0001/repetition_002/summary.txt,4672919,SUCCEEDED,2026-04-27 17:28:12,2026-04-27 17:30:45,Submitted batch job 4672919,,0,COMPLETING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,112,48.171,59.2409,1.33
Gys_io Benchmark - Subfiling,1,3,5,/beegfs/aloupoue/iops_runs/run_060,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0001/repetition_003,1,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0001/repetition_003/summary.txt,4672925,SUCCEEDED,2026-04-27 17:30:46,2026-04-27 17:32:53,Submitted batch job 4672925,,0,RUNNING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,113,88.4141,98.5702,0.72
Gys_io Benchmark - Subfiling,1,4,5,/beegfs/aloupoue/iops_runs/run_060,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0001/repetition_004,1,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0001/repetition_004/summary.txt,4672927,SUCCEEDED,2026-04-27 17:32:54,2026-04-27 17:35:29,Submitted batch job 4672927,,0,RUNNING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,114,17.3226,29.029,3.69
Gys_io Benchmark - Subfiling,1,5,5,/beegfs/aloupoue/iops_runs/run_060,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0001/repetition_005,1,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0001/repetition_005/summary.txt,4672931,SUCCEEDED,2026-04-27 17:35:30,2026-04-27 17:38:09,Submitted batch job 4672931,,0,RUNNING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,116,91.7578,102.393,0.7
Gys_io Benchmark - Subfiling,2,2,5,/beegfs/aloupoue/iops_runs/run_060,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0002/repetition_002,2,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0002/repetition_002/summary.txt,4672933,SUCCEEDED,2026-04-27 17:38:09,2026-04-27 17:40:40,Submitted batch job 4672933,,0,RUNNING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,111,78.0493,89.111,0.82
Gys_io Benchmark - Subfiling,2,3,5,/beegfs/aloupoue/iops_runs/run_060,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0002/repetition_003,2,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0002/repetition_003/summary.txt,4672938,SUCCEEDED,2026-04-27 17:40:40,2026-04-27 17:43:14,Submitted batch job 4672938,,0,COMPLETING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,110,61.3999,72.4458,1.04
Gys_io Benchmark - Subfiling,2,4,5,/beegfs/aloupoue/iops_runs/run_060,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0002/repetition_004,2,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0002/repetition_004/summary.txt,4672940,SUCCEEDED,2026-04-27 17:43:19,2026-04-27 17:57:38,Submitted batch job 4672940,,0,RUNNING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,116,91.9454,102.539,0.7
Gys_io Benchmark - Subfiling,2,5,5,/beegfs/aloupoue/iops_runs/run_060,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0002/repetition_005,2,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0002/repetition_005/summary.txt,4672954,SUCCEEDED,2026-04-27 17:57:39,2026-04-27 18:00:09,Submitted batch job 4672954,,0,RUNNING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,116,53.3681,63.3642,1.2
